,id,createdtime,username,tweets
0,1.41E+18,21-06-2021 17:08,AppleRetweetBot,now sold at  mint millionsabove level see what happens to apple   up in day      why     cook to
1,1.41E+18,21-06-2021 17:05,Magicbullindia,now sold at  mint millionsabove level see what happens to apple   up in day      why     cook told us big secret
2,1.41E+18,20-06-2021 11:47,Os_bourne10,iphone xsmax giguk used with chargercomes with case and protectorvery neat  no issuesbattery health  percentpri
3,1.41E+18,19-06-2021 11:44,igoodsghana,iphone xsmax giguk used with chargercomes with case and protectorvery neat  no issuesbattery health  percentprice  ghc  promo unlockedcall or whatsapp location  abossey okai zongo junction bus stop or search igoodsgh on google map
4,1.41E+18,18-06-2021 16:00,TradingSurfers,elliott wave analysis  charts are released earlier in our discord group please like and share if you appreciate this analysis
5,1.41E+18,18-06-2021 14:31,TechnobuggTweet,madhav reveals its plans  amp  arrival of upcoming products including realme gt  in india
6,1.41E+18,18-06-2021 12:59,xt_msc,fast forward to   secs and watch explaining on camera how to manipulate   spread lies as to how verizon and att do not want apple phone  and more   and this guy in on giving financial advise
7,1.41E+18,18-06-2021 02:16,myksmayn,btc  eth and what do institutions need before major expansion  fk tonne of liquidity  this is what pre expansion
8,1.41E+18,18-06-2021 02:14,iLiquidatebots,btc  eth and what do institutions need before major expansion  fk tonne of liquidity  this is what pre expansion shakeout  after major ath break out  looks like  keep saying it  get net long and stay net long   btc  eth
9,1.41E+18,17-06-2021 01:36,vwapnation,aapl yes looking good climbing the other side of pattern with higher low
10,1.41E+18,16-06-2021 20:30,JAHomes4u,if you are buying home  or even buying new appliances  it  good to know how long they will last  here are the averages oven    yearsfridge  yearsdishwasher  yearsfurnace    yearswater heater    yearshvac    years
11,1.41E+18,16-06-2021 13:30,startuprad_io,apple hires former bmw executive for its rebooted car project
12,1.40E+18,15-06-2021 08:52,PeccatumClamans,six  fuck you dark pattern  what you see   apple music  opened unasked for  only option   start listening the quit button
13,1.40E+18,15-06-2021 08:16,joe__six,fuck you dark pattern  what you see   apple music  opened unasked for  only option   start listening the quit button  top left  is grayed out  no  cancel   no  exit  no other option than sta fucking swallow the marketing crap they force onto me
14,1.40E+18,15-06-2021 07:14,samopanyin,iphone pro availablegig for ghcgig for ghcfactory unlocked new in box se
15,1.40E+18,15-06-2021 07:09,exploregh,iphone pro availablegig for ghcgig for ghcfactory unlocked new in box sealedcall or whatsapp location  abossey okai zongo junction bus stop or search igoodsgh on google map